	Term	Freq
1109	казах	5
1110	энеолит	5
1111	пленный	5
1112	фаюмскомый	5
1113	балтика	5
1114	археоастрономия	5
1115	осуждение	5
1116	гладиатор	5
1117	царевич	5
1118	гелиополь	5
1119	ношение	5
1120	варвара	5
1121	иркутск	5
1122	черновик	5
1123	почтение	5
1124	ленинградец	5
1125	типография	5
1126	дентин	5
1127	боеприпасы	5
1128	седло	5
1129	научность	5
1130	лояльность	5
1131	престиж	5
1132	паннония	5
1133	дефект	5
1134	когорта	5
1135	полотно	5
1136	ущелие	5
1137	картер	5
1138	массив	5
1139	партизан	5
1140	концепт	5
1141	смертность	5
1142	сородич	5
1143	подножие	5
1144	колыбель	5
1145	цитадель	5
1146	бурят	5
1147	шов	5
1148	муниципалитет	5
1149	грот	5
1150	желоб	5
1151	вергина	5
1152	лира	5
1153	еж	5
1154	брюссель	5
1155	разгром	5
1156	воссоздание	5
1157	сало	5
1158	мелководье	5
1159	сталинизм	5
1160	утопия	5
1161	экология	5
1162	рейд	5
1163	аспирант	5
1164	морж	5
1165	англосакс	5
1166	папиролог	5
1167	загон	5
1168	изразец	5
1169	приказание	5
1170	напряженность	5
1171	суздаль	5
1172	застройка	5
1173	ранхигс	5
1174	люся	5
1175	ковчег	5
1176	вероисповедание	5
1177	галиция	5
1178	длительность	5
1179	лима	5
1180	прилив	5
1181	старец	5
1182	лоно	5
1183	затея	5
1184	идеологема	5
1185	афоризм	5
1186	бантыш	5
1187	предводитель	5
1188	подложность	5
1189	игумен	5
1190	либерализация	5
1191	развал	5
1192	эск	5
1193	сподвижник	5
1194	нововведение	5
1195	миниатюра	5
1196	наряд	5
1197	насечка	5
1198	оксиринх	5
1199	реформирование	5
1200	индиец	5
1201	сард	5
1202	перенос	5
1203	волокно	5
1204	вывеска	5
1205	ассирия	5
1206	аномалия	5
1207	меркурий	5
1208	инкрустация	5
1209	лондиниум	5
1210	персефон	5
1211	истинность	5
1212	проигрыш	5
1213	кадет	5
1214	ошер	5
1215	подотряд	5
1216	миква	5
1217	наказ	5
1218	дубинка	5
1219	пайка	5
1220	даль	5
1221	нумизмат	5
1222	котлован	5
1223	вулкан	5
1224	иголка	5
1225	иерихон	5
1226	кириллица	5
1227	водоем	5
1228	дьякон	5
1229	конфедерация	5
1230	эдинбург	5
1231	пучок	5
1232	марс	5
1233	отклонение	5
1234	алеут	5
1235	минск	5
1236	зубр	5
1237	формация	5
1238	нацист	5
1239	дерн	5
1240	ртуть	5
1241	символика	5
1242	тверская	5
1243	резня	5
1244	импорт	5
1245	пастбище	5
1246	конунг	5
1247	соус	5
1248	византинист	5
1249	высадка	5
1250	желудь	5
1251	уак	5
1252	юань	5
1253	микрофон	5
1254	загрязнение	5
1255	обогащение	5
1256	фиксация	5
1257	халиф	5
1258	мозги	5
1259	снофра	5
1260	коронация	5
1261	врата	5
1262	теорема	5
1263	префект	5
1264	тронхейм	5
1265	флейта	5
1266	ростов	5
1267	проповедь	5
1268	теропод	5
1269	мушкет	5
1270	консерватор	5
1271	колонизация	5
1272	еретик	5
1273	электрон	5
1274	прима	5
1275	расхождение	5
1276	продвижение	5
1277	костенок	5
1278	отщеп	5
1279	лиза	5
1280	пристройка	5
1281	эстонец	5
1282	тринити	5
1283	шумер	5
1284	христя	5
1285	гиена	5
1286	пометка	5
1287	бор	5
1288	грифон	5
1289	опричнина	5
1290	донос	5
1291	миска	5
1292	симпатия	5
1293	дайвер	5
1294	ларих	5
1295	оплот	5
1296	вольность	5
1297	величество	5
1298	чистка	5
1299	постамент	5
1300	таверна	5
1301	боудикки	5
1302	мистика	5
1303	надрез	5
1304	путеводитель	5
1305	митра	5
1306	мгу	5
1307	эгеида	5
1308	ява	5
1309	битум	5
1310	плуг	5
1311	дельфы	5
1312	швейцарец	5
1313	корма	5
1314	канава	5
1315	деликатес	5
1316	увар	5
1317	инжир	5
1318	изотоп	5
1319	свастика	5
1320	резец	5
1321	этнограф	5
1322	культуролог	5
1323	алтар	5
1324	ересь	5
1325	салтыков	5
1326	обиход	5
1327	пальма	5
1328	дуэль	5
1329	жестокость	5
1330	библиография	5
1331	драматург	5
1332	зевс	5
1333	весиля	5
1334	мистификация	5
1335	корсика	5
1336	абрь	5
1337	темница	5
1338	лучник	5
1339	угода	5
1340	притязание	5
1341	фальсификатор	5
1342	плюрализм	5
1343	эфес	5
1344	гарум	5
1345	доблесть	5
1346	разбойник	5
1347	награждение	5
