	mentions	scholar
949	1	Вагнер
950	1	Павличева
951	1	Хидеки Танимура
952	1	Гюнтер Тайссен
953	1	Харцхорне
954	1	Михаэль Майер
955	1	Мейер
956	1	Уорикского
957	1	Клар
958	1	Филип Мориарти
959	1	Петра Каменского
960	1	Леонова
961	1	Драгутин
962	1	Дэвид Фрейер
963	1	Гульбенкяна
964	1	Пьетр Эббил
965	1	Рэми Берстайн
966	1	Ладислав Нейман
967	1	Нейман
968	1	Сеймер Алдаер
969	1	Красавина
970	1	Мэйфлауэре
971	1	Шапиро
972	1	Дубынина
973	1	Роберт Рейвен
974	1	Тибетцы
975	1	Нина
976	1	Мартин Уиттинг
977	1	Скотт Персонс
978	1	Иларио Чи Кануль
979	1	Бруно Каркамо
980	1	Мирослав Барта
981	1	Томас Стоун
982	1	Князев
983	1	Дмитрия Зимина
984	1	Зорин
985	1	Динца
986	1	Баюк
987	1	Фрэнк Дональд Дрейк
988	1	Софья Сугачевская
989	1	Майкл
990	1	Майкл Браун Дэвид Рабиновиц
991	1	Веделер
992	1	Лоуренсовского
993	1	Кети Никен
994	1	Невадского
995	1	Карл Гегенбаур
996	1	Кэирнс
997	1	Юрий Чернов
998	1	Нагойского
999	1	Ахмад Рафсанджани
1000	1	Технодинамика Николенко
1001	1	Артемий Арциховский
1002	1	Оккатора
1003	1	Оливера Брока
1004	1	Ниппон
1005	1	Франциско
1006	1	Муранов
1007	1	Устинова
1008	1	Молодой
1009	1	Лунц
1010	1	Ци Ван
1011	1	Риформинг
1012	1	Мими Тан
1013	1	Порфири
1014	1	Джорджа Питри
1015	1	Дэвид Кларк
1016	1	Хьюго
1017	1	Вернон Бейли
1018	1	Бенедетто Стрампелли
1019	1	Альфред
1020	1	Майкл Тифт
1021	1	Полимер
1022	1	Зак Тутт
1023	1	Тутт
1024	1	Соловьев
1025	1	Темпест
1026	1	Питера Клаэса
1027	1	Отаго
1028	1	Малколма Сирза
1029	1	Дэвид Ротшильд
1030	1	Ротшильда
1031	1	Антклиффа
1032	1	Митчелл
1033	1	Бернетт
1034	1	Инами Хияма
1035	1	Уинтроп Келлог
1036	1	Носов
1037	1	Носова
1038	1	Свен Закс
1039	1	Щейман
1040	1	Дрю Харвелл
1041	1	Джоли Лэмб
1042	1	Джорджа Котсарелиса
1043	1	Хеннингом Педерсеном
1044	1	Хью Толлер
1045	1	Брюн Гетин
1046	1	Денель
1047	1	Оллинга
1048	1	Мишель Милинкович
1049	1	Николя
1050	1	Хирша
1051	1	Веджибургер
1052	1	Каренца Льюис
1053	1	Льюис
1054	1	Скотт
1055	1	Карла Пирсона
1056	1	Уэйн Хэммонд
1057	1	Аммониты
1058	1	Мурали
1059	1	Тулуба
1060	1	Расмус
1061	1	Расмуса Нильсена
1062	1	Дэвид Фрейдель
1063	1	Артур Файн
1064	1	Ф. Г. Добжанский
1065	1	Итана
1066	1	Зигеля
1067	1	Федором Заверняевым
1068	1	Малькольма Самбриджа
1069	1	Марина
1070	1	Олег Толстихин
1071	1	Рассел Гарвуд
1072	1	Московский
1073	1	Эндрю Уайлс
1074	1	Абелевской
1075	1	Нильса Хенрика Абеля
1076	1	Элизабет Данн
1077	1	Хорасом Татлом Туттлем
1078	1	Стивена Гулда
1079	1	Паркинсона
1080	1	Ролло Мэй
1081	1	Лионель Тайгер
1082	1	Фрэнсис Кусинотта
1083	1	Реджиналд Иннес Покок
1084	1	Глюка
