path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_chto_new_horizons_uvideli_na_puti_k_plutonu_i_za_nego.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_new_horizons_uvideli_na_puti_k_plutonu_i_za_nego,19.01.2016,"Плутон: горы, лед, дюны и голубые небеса",Что New Horizons увидел на пути к Плутону и за него,Екатерина Боровикова,,Астрономия_История_Авиация и космос,Статьи
chrdk.ru/articles/sci_chto_proishodit_s_mozgom_kogda_my_zaderzhivaem_dyhanie.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_proishodit_s_mozgom_kogda_my_zaderzhivaem_dyhanie,31.05.2016,Дышите — не дышите,"Что происходит с мозгом, когда мы задерживаем дыхание",Екатерина Боровикова,,Нейронауки_Российская наука_Репортаж_Видео,Статьи
chrdk.ru/articles/sci_chto_proishodit_v_znamenitoi_petrovskoi_kunstkamere_segodnya.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_proishodit_v_znamenitoi_petrovskoi_kunstkamere_segodnya,23.12.2015,"«Дом» из костей мамонта, Венеры палеолита  и поколение Y",Что происходит в знаменитой петровской Кунсткамере сегодня,Екатерина Боровикова,,Археология_Российская наука_Музей,Статьи
chrdk.ru/articles/sci_chto_takoe_novaya_fizika_i_kak_naiti_ee_v_uskoritelyah_pod_zemlei_i_v_teleskopah.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_takoe_novaya_fizika_i_kak_naiti_ee_v_uskoritelyah_pod_zemlei_i_v_teleskopah,07.09.2015,"Пятое измерение, темная материя и гравитоны","Что такое новая физика и как найти ее в ускорителях, под Землей и в телескопах",Александра Борисова,,Физика_Российская наука_Большой адронный коллайдер_ОИЯИ,Статьи
chrdk.ru/articles/sci_chto_takoe_svetovoi_parus_kak_on_rabotaet_i_mozhno_li_s_nim_uletet_k_alfa_tsentavra.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_takoe_svetovoi_parus_kak_on_rabotaet_i_mozhno_li_s_nim_uletet_k_alfa_tsentavra,13.04.2016,"Не столько транспорт, сколько оружие","Эксперт объяснил, как работает световой парус и можно ли с ним улететь к звездам",Михаил Петров,,Космос_Интервью_Футурология_Авиация и космос,Статьи
chrdk.ru/articles/sci_chto_znachit_nalichie_vody_na_marse_dlya_ego_osvoeniya_i_poiska_zhizni.txt,https://chrdk.ru/,https://chrdk.ru/sci/chto_znachit_nalichie_vody_na_marse_dlya_ego_osvoeniya_i_poiska_zhizni,07.10.2015,Подземные реки и марсианское топливо ,Как недавнее обнаружение на Марсе жидкой воды продвинет его освоение ,Екатерина Боровикова,,Астрономия_Интервью_Футурология_Российская наука,Статьи
chrdk.ru/articles/sci_chuma-xx-veka-vzglyad-iz-xi.txt,https://chrdk.ru/,https://chrdk.ru/sci/chuma-xx-veka-vzglyad-iz-xi,29.11.2016,Чума XX века: взгляд из XXI,"Вакцины, генная терапия и другие новые методы лечения ВИЧ",Михаил Петров,,Биотехнологии_Молекулярная биология_Биология_Медицина,Статьи
chrdk.ru/articles/sci_citizen_science.txt,https://chrdk.ru/,https://chrdk.ru/sci/citizen_science,29.03.2017,Ученые в штатском,Как залипать у компьютера с пользой для науки,Екатерина Боровикова,,Астрономия_Информационные технологии_Генетика_Медицина_Лингвистика,Статьи
chrdk.ru/articles/sci_climate_engineering.txt,https://chrdk.ru/,https://chrdk.ru/sci/climate_engineering,16.11.2016,Служба спасения от непогоды,"На Кавказе научились вызывать дождь, разгонять туман и отменять заморозки",,,Климат_Изменение климата_Интервью_Технологии,Статьи
chrdk.ru/articles/sci_conjoined_twins.txt,https://chrdk.ru/,https://chrdk.ru/sci/conjoined_twins,06.09.2017,Сиамские близнецы,Обреченные быть одним целым,Яна Пчелинцева,,История_Медицина,Статьи
chrdk.ru/articles/sci_constantine.txt,https://chrdk.ru/,https://chrdk.ru/sci/constantine,09.07.2015,Великие исторические подделки: «Константинов дар»,Как борьба с папой римским помогла создать историческую науку,,,История,Статьи
chrdk.ru/articles/sci_cp-symmetry_violation.txt,https://chrdk.ru/,https://chrdk.ru/sci/cp-symmetry_violation,12.08.2016,Несимметричные нейтрино,Эксперименты с нейтрино могут объяснить преобладание материи во Вселенной,Екатерина Боровикова,,Физика_Интервью_Российская наука,Статьи
chrdk.ru/articles/sci_crafoord_prize_2017.txt,https://chrdk.ru/,https://chrdk.ru/sci/crafoord_prize_2017,18.05.2017,Иммунитет против иммунитета,За что в 2017 году вручают премию Крафорда,Евгения Щербина,,Медицина,Статьи
chrdk.ru/articles/sci_crimean_atlantis.txt,https://chrdk.ru/,https://chrdk.ru/sci/crimean_atlantis,14.03.2017,Город под водой,Что нам известно о «Крымской Атлантиде»,Евгения Щербина,,Археология_История_Российская наука,Статьи
chrdk.ru/articles/sci_crispr_cancer.txt,https://chrdk.ru/,https://chrdk.ru/sci/crispr_cancer,05.07.2016,Все лучше с CRISPR,Как редактирование ДНК может помочь иммунной системе бороться с раком,Екатерина Боровикова,,Медицина,Статьи
chrdk.ru/articles/sci_Dasha_and_Tosha_book.txt,https://chrdk.ru/,https://chrdk.ru/sci/Dasha_and_Tosha_book,15.08.2016,"Расстройство обыкновенное, городское",Авторы путеводителя по психическим расстройствам рассказывают о своей книге,Михаил Петров,,Психология_Нейронауки_Интервью_Медицина_Книги,Статьи
chrdk.ru/articles/sci_davaite-smenim-temu.txt,https://chrdk.ru/,https://chrdk.ru/sci/davaite-smenim-temu,01.02.2017,Давайте сменим тему,Российской науке не хватает ресурсов и новизны,Евгения Щербина,,Российская наука_РАН,Статьи
chrdk.ru/articles/sci_dawkins_interview.txt,https://chrdk.ru/,https://chrdk.ru/sci/dawkins_interview,03.07.2017,«Мы на правильном пути»,"Ричард Докинз — об эгоистичном гене, мемах и своей атеистической борьбе",Иван Шунин,,Интервью,Статьи
chrdk.ru/articles/sci_dedy-koldovali.txt,https://chrdk.ru/,https://chrdk.ru/sci/dedy-koldovali,24.05.2017,Деды колдовали,Что мы на самом деле знаем о язычестве древних славян,Евгения Щербина,,История,Статьи
