path,source,date,title,subtitle,author,rubrics,tags
https://chrdk.ru/sci/girls_and_physics,https://chrdk.ru/,16.11.2017,"Кубиты, стерильные нейтрино и кварк-глюонная плазма","Как девушки работают в теоретической физике, квантовой криптографии и на АЭС",Александра Борисова,,Физика_Российская наука_Репортаж
https://chrdk.ru/sci/glavnye_nauchnye_otkrytija_2015_goda,https://chrdk.ru/,30.12.2015,"Новая физика, редактирование ДНК и ГМО на прилавках",Чем запомнился 2015 год в науке,,,Физика_Химия_Математика_Археология_История_Ядерные технологии_Палеонтология_Молекулярная биология_Биология_Большой адронный коллайдер
https://chrdk.ru/sci/glavnye_sobytija_goda_v_astronomii,https://chrdk.ru/,30.12.2015,"Потенциально «живая» планета, белые пятна и вода на Марсе",Главные события 2015 года в астрономии,Алексей Паевский,,Астрономия_История_Авиация и космос
https://chrdk.ru/sci/glazov_intervew,https://chrdk.ru/,31.07.2017,Почему птицы улетают,Интервью с орнитологом Петром Глазовым о миграции птиц,,,Животные_Этология
https://chrdk.ru/sci/gnevnoe-serdtce-razyarennogo-boga,https://chrdk.ru/,13.03.2017,Гневное сердце разъяренного бога,Чем культура древней Месопотамии удивляет современного человека,Евгения Щербина,,Археология_История_Российская наука
https://chrdk.ru/sci/grants,https://chrdk.ru/,30.11.2016,Где взять денег,15 лучших грантов для ученых и исследователей за рубежом,,,Полезное
https://chrdk.ru/sci/gravitational_waves,https://chrdk.ru/,11.02.2016,Охота длиной в век,Физики поймали гравитационные волны,,,Физика_Российская наука
https://chrdk.ru/sci/gw170817,https://chrdk.ru/,16.10.2017,"GW170817, или Астрономически важные сто секунд лета",Впервые в истории зарегистрированы гравитационные волны от слияния нейтронных звезд,,,Астрофизика
https://chrdk.ru/sci/habsburgs_vs_raccoons,https://chrdk.ru/,19.05.2017,Мы с тобой одной крови,Чем пахнут родственники: генетическая лаборатория в носу,Полина Лосева,,Молекулярная биология_Этология
https://chrdk.ru/sci/happy_birthday_hertz,https://chrdk.ru/,22.02.2017,"Беспроводные технологии, XIX век",Как Генрих Герц научился передавать электромагнитные волны,Михаил Петров,,Физика_История
https://chrdk.ru/sci/Hazard_Nanotube,https://chrdk.ru/,29.02.2016,Смертельные микрограммы ,"В Казани показали, что нанотрубки могут провоцировать легочные заболевания ",Михаил Петров,,Науки о живом_Материаловедение_Нанотехнологии_Российская наука_Медицина_Наука в университетах_Экология
https://chrdk.ru/sci/hedgehog_and_crabs,https://chrdk.ru/,27.04.2017,"Еж Соник, хулиганская выходка и японские самураи",Три научных названия и их истории,Екатерина Боровикова,,Физика_История_Генетика_Животные
https://chrdk.ru/sci/herbarium,https://chrdk.ru/,30.01.2017,Новый лук,Ученые МГУ в 2016 году открыли 16 новых видов растений,Алиса Веселкова,,Биология_Российская наука_Растения
https://chrdk.ru/sci/heyerdahl-was-wrong,https://chrdk.ru/,08.11.2017,Здесь инки не приставали,Молекулярные биологи ставят точку в споре о происхождении аборигенов острова Пасхи,Дмитрий Лебедев,,История_Молекулярная биология_Этнология
https://chrdk.ru/sci/higgs_impendency,https://chrdk.ru/,04.07.2017,Неизбежность хиггса,К пятилетию открытия хиггсовского бозона,Максим Борисов,,Физика_Ядерные технологии
https://chrdk.ru/sci/high_altitude,https://chrdk.ru/,14.12.2016,Высотная адаптация,Как человеческий организм приспосабливается к жизни в горах,Дмитрий Лебедев,,Генетика_Медицина
https://chrdk.ru/sci/hitomi_data,https://chrdk.ru/,14.07.2016,Увидеть центр скопления галактик и умереть,Какие результаты успел получить спутник «Хитоми» перед безвременной кончиной,Екатерина Боровикова,,Астрономия_Российская наука_Наука в университетах
https://chrdk.ru/sci/homeopathy_pseudoscience,https://chrdk.ru/,06.02.2017,Противодействие гомеопатии,"Комиссия РАН опубликовала меморандум «О лженаучности гомеопатии», признав лечение сверхмалыми дозами веществ ненаучным",Алиса Веселкова,,Лженаука
https://chrdk.ru/sci/human_pheromones,https://chrdk.ru/,21.07.2017,Формула любви,"Существуют ли человеческие феромоны? (Возможно, но толку от них в любви мало)",Дмитрий Лебедев,,Химия_Генетика_Молекулярная биология_Животные
https://chrdk.ru/sci/Ichthyosaur,https://chrdk.ru/,23.03.2016,Ты слишком медленно эволюционировал,"Ученые установили, почему ихтиозавры вымерли раньше остальных динозавров",Михаил Петров,,Палеонтология_Биология_Климат_Российская наука_Наука в университетах
https://chrdk.ru/sci/inion_future,https://chrdk.ru/,08.12.2016,Бездомные и замороженные книги,Интервью с врио директора ИНИОН РАН Ильей Зайцевым,Алиса Веселкова,,Информационные технологии_Интервью_Российская наука_Выбор редакции_РАН
https://chrdk.ru/sci/in_the_name_of_evil,https://chrdk.ru/,30.06.2017,Во имя зла и несправедливости,О научных разработках двойного назначения,Ольга Добровидова,,Молекулярная биология_Медицина_Технологии
https://chrdk.ru/sci/Iraq2003,https://chrdk.ru/,21.10.2016,Математика мнений,"Ученые объяснили, как менялось мнение американцев накануне войны с Ираком",Екатерина Боровикова,,Математика_Социология_Российская наука
https://chrdk.ru/sci/itogi2016,https://chrdk.ru/,26.12.2016,"Прощай, 2016-й!","Вспоминаем главные научные события уходящего года, пока не начался следующий",Екатерина Боровикова,,Физика_Астрономия_Генетика
https://chrdk.ru/sci/itogi_goda_v_rossiyskoi_nauke_i_tehnike,https://chrdk.ru/,28.12.2015,"Нейтрино, кубит, робот-космонавт и остановка крови",Итоги 2015 года в российской науке и технике,Екатерина Боровикова,,Российская наука
https://chrdk.ru/sci/its_a_dirty_world,https://chrdk.ru/,07.07.2017,"Этот грязный, грязный мир","Песочницы, дверные ручки и другие рассадники инфекции",Ольга Добровидова,,Медицина_Микробиология
