path,source,date,title,subtitle,author,rubrics,tags
chrdk.ru/news/news_cannibalism,https://chrdk.ru/,06.04.2017,Ученый рассчитал питательную ценность человека,,,,Антропология
chrdk.ru/news/news_cephalopods_proliferate,https://chrdk.ru/,26.05.2016,Головоногих моллюсков становится все больше,,,,Науки о живом_Биология_Животные_Экология
chrdk.ru/news/news_chastitsy_zvezdnoi_pyli_rasskazali_o_verhnih_sloyah_drevnei_atmosfery_zemli,https://chrdk.ru/,12.05.2016,Частицы звездной пыли «рассказали» о верхних слоях древней атмосферы Земли,,,,Астрономия_Геология
chrdk.ru/news/news_chelovecheskiy_glaz_okazalsya_sposoben_uvidet_odinochnyi_foton,https://chrdk.ru/,22.07.2016,Человеческий глаз оказался способен увидеть одиночный фотон,,,,Физика_Науки о живом_Биология
chrdk.ru/news/news_chelovek-mozhet-na-glaz-i-nyukh-opredelyat-bolezn-drugikh-lyudei,https://chrdk.ru/,26.05.2017,Человек может на глаз и нюх опознавать больных людей,,,,Психология_Биология
chrdk.ru/news/news_chem-bolshe-v-shkole-devochek-tem-luchshe-uchatsya-malchiki,https://chrdk.ru/,13.11.2017,"Чем больше в школе девочек, тем лучше учатся мальчики",,,,Социология
chrdk.ru/news/news_chem-bystree-govorit-chelovek-tem-menee-informativna-ego-rech,https://chrdk.ru/,19.01.2017,"Чем быстрее говорит человек, тем менее информативна его речь",,,,Информационные технологии_Лингвистика
chrdk.ru/news/news_chem-pakhnut-biblioteki,https://chrdk.ru/,10.04.2017,"Британские ученые выяснили, чем пахнут библиотеки и старые книги",,,,Химия_Социология
chrdk.ru/news/news_chem-starshe-otetc-tem-veroyatnee-ego-syn-budet-gikom,https://chrdk.ru/,26.06.2017,"Чем старше отец, тем вероятнее его сын будет гиком",,,,Психология_Социология_Биология
chrdk.ru/news/news_cherdak-vzyal-dve-pervykh,https://chrdk.ru/,17.10.2017,«Чердак» взял две первые премии на конкурсе Tech in Media,,,,Конкурс
